"ID_aux";"CODIGO_UNIV";"CODIGO";"VIA";"PREFERENCIA";"PTJE_POND";"TIPO_MATRICULA"
"id_196531974652";"45";45008;1;1;684,65;1
"id_432034377204";"51";51120;1;4;544;1
"id_831408370144";"14";14088;1;3;706,25;1
"id_999509975958";"25";25042;1;2;583,6;1
"id_777307776736";"56";56220;1;1;698,15;1
"id_155001578503";"41";41021;1;3;714,4;1
"id_275702778576";"20";20076;1;1;714,5;1
"id_947369478739";"20";20096;1;1;667,6;1
"id_735467375544";"20";20076;1;1;582,7;1
"id_184861878481";"56";56224;1;1;666,8;1
"id_262562672259";"29";29012;1;2;685,7;1
"id_616766174677";"50";50115;1;3;465,35;1
"id_8867988876728";"25";25052;1;6;639,7;1
"id_8902989570225";"21";21033;1;1;762,4;1
"id_8516985671682";"45";45004;1;1;679,3;1
"id_8740987274061";"53";53303;1;7;636;1
"id_8737987373774";"50";50119;1;5;765,55;1
"id_8156981275674";"35";35086;1;1;563,1;1
"id_8426984872610";"56";56220;1;0;0;9
"id_8434984573433";"26";26010;1;2;602,4;1
"id_8218982571855";"12";12042;1;1;788,8;1
"id_8289982278969";"21";21074;1;1;587,25;1
"id_8346983574681";"53";53309;1;1;760,5;1
"id_8024980572449";"47";47002;1;1;557,9;1
"id_8019980771970";"11";11017;1;2;766,15;1
"id_8098980479898";"18";18096;1;8;666,4;1
"id_8038980373824";"40";40030;1;3;634,3;1
"id_8664986976403";"14";14004;1;1;650,6;1
"id_8684986378423";"12";12034;1;1;684,25;1
"id_8630986673018";"46";46306;1;2;659,1;1
"id_9728997672850";"49";49113;1;1;654,55;1
"id_9144991874446";"56";56220;1;0;0;8
"id_9117991771768";"12";12018;2;1;614,05;4
"id_9189991378996";"55";55005;1;1;691,6;1
"id_9454994675499";"17";17054;1;1;497,25;1
"id_9370993277014";"35";35064;1;2;614,6;1
"id_9089990778900";"56";56518;1;1;852,9;1
"id_9021990472102";"52";52070;1;1;648,3;1
"id_9091990379132";"53";53306;1;3;681,05;1
"id_5851958975112";"25";25065;1;1;604,2;1
"id_5904959870461";"45";45001;1;10;537,5;3
"id_5982959278241";"56";56220;1;1;494,7;1
"id_5914959271450";"40";40074;1;1;714,6;1
"id_5531955873129";"12";12018;1;1;737,55;1
"id_5561955876159";"22";22023;1;1;592,6;1
"id_5509955170947";"56";56124;1;2;578,6;1
"id_5510955471033";"56";56410;1;1;599,8;1
"id_5575955077545";"49";49108;1;1;605,2;1
"id_5544955074486";"12";12018;1;1;778,85;1
"id_5789957178972";"32";32162;1;1;669;1
"id_5147951574728";"55";55076;1;1;753,2;1
"id_5174951177480";"41";41011;1;1;522,6;1
"id_5119951171931";"11";11061;1;4;468,3;1
"id_5168951076841";"55";55092;1;3;613;1
"id_5438954673845";"18";18096;1;1;725,8;1
"id_5241952874183";"26";26073;1;0;0;9
"id_5287952978732";"23";23016;1;1;699,7;1
"id_5283952978384";"11";11022;1;1;829,25;1
"id_5248952274882";"45";45036;1;3;567,85;1
"id_5232952073246";"56";56324;1;6;632,5;1
"id_5315953471587";"32";32043;1;0;0;8
"id_5323953472313";"12";12018;1;2;727,55;1
"id_5047950174764";"26";26071;1;5;564,4;1
"id_5072950277291";"56";56518;1;1;742,7;1
"id_5009950670901";"11";11065;1;2;614,55;1
"id_5649956574914";"39";39129;1;3;706,4;1
"id_7800978170082";"49";49305;1;6;696,3;1
"id_7807978370749";"12";12015;1;6;669,75;1
"id_7926979472601";"37";37098;4;1;591,35;11
"id_7973979277367";"32";32150;1;1;547,9;1
"id_7564975176457";"49";49317;1;1;561,7;1
"id_7548975274876";"41";41015;1;3;605,1;1
"id_7543975374364";"40";40050;1;1;550,8;1
"id_7534975673492";"21";21033;1;1;526,1;1
"id_7733977873370";"55";55092;1;11;494,4;1
"id_7723977272367";"55";55084;1;1;581,7;1
"id_7105971970505";"55";55114;1;1;571;1
"id_7186971778605";"19";19031;1;2;622,4;1
"id_7127971172777";"19";19022;1;4;555,5;1
"id_7137971473795";"21";21047;1;1;536,25;1
"id_7103971470392";"20";20086;1;1;596,8;1
"id_7421974672193";"32";32130;1;1;486,2;1
"id_7271972877130";"47";47004;1;2;557,8;1
"id_7205972770524";"22";22023;1;1;637;1
"id_7292972179203";"22";22004;1;1;692,85;1
"id_7218972071885";"49";49109;1;1;686,8;1
"id_7211972071181";"55";55114;1;1;635,7;1
"id_7326973872624";"40";40030;1;4;624,8;1
"id_7300973870004";"52";52090;1;1;522,25;1
"id_7054970475481";"55";55011;1;1;464,6;1
"id_7063970476304";"11";11061;1;2;707,6;1
"id_7052970075287";"50";50832;1;1;775,4;1
"id_7042970674272";"53";53101;1;9;566,4;1
"id_7067970676789";"52";52100;1;1;756,3;1
"id_7690976579056";"41";41212;1;1;792,1;1
"id_1821918972186";"49";49219;1;0;0;9
"id_1869918476982";"44";44027;1;1;815,85;1
"id_1838918073863";"17";17009;1;1;719,15;1
"id_1968919776879";"38";38162;1;3;707,1;1
"id_1918919171874";"45";45005;1;2;719,6;1
"id_1945919174524";"11";11026;1;5;794,35;1
"id_1906919170666";"11";11040;1;1;777,5;1
"id_1957919475783";"21";21043;1;1;678,3;1
"id_1979919477998";"11";11060;1;1;759,95;1
"id_1937919073739";"46";46402;1;0;0;2
"id_1908919070842";"39";39129;1;2;724,4;1
"id_1524915972446";"12";12097;1;1;548;1
"id_1556915075663";"14";14103;1;1;693,8;1
"id_1727917772758";"11";11525;1;1;882,9;1
"id_1799917179907";"35";35023;2;1;685,8;4
"id_1754917275420";"52";52504;1;5;571,1;1
"id_1470914277037";"56";56418;1;1;656,7;1
"id_1415914071538";"25";25019;1;1;665,65;1
"id_1447914674717";"12";12096;1;0;0;8
"id_1338913273881";"56";56124;1;1;625,85;1
"id_1378913077882";"56";56318;1;2;781;1
"id_1644916874449";"11";11040;2;2;699,2;4
"id_4847948474715";"51";51230;1;2;608,9;1
"id_4827948372785";"26";26040;1;1;480,3;1
"id_4826948372633";"56";56510;1;1;645,5;1
"id_4838948373892";"11";11078;1;17;858,15;1
"id_4833948373352";"26";26303;1;2;478,2;1
"id_4862948376216";"22";22021;1;1;660;1
"id_4809948670973";"26";26050;1;1;620,9;1
"id_4984949878468";"26";26303;1;1;527,25;1
"id_4940949974055";"35";35018;1;1;714,4;1
"id_4925949972570";"16";16019;1;3;632,7;1
"id_4925949572571";"19";19091;1;1;923,55;1
"id_4934949773492";"55";55021;1;11;677,9;1
"id_4906949770676";"49";49216;1;1;532,45;1
"id_4986949478644";"18";18040;1;1;636,8;1
"id_4974949277468";"38";38170;1;2;936;1
"id_4972949277243";"16";16048;1;1;740,5;1
"id_4921949272163";"25";25033;1;1;772,2;1
"id_4922949272272";"11";11062;1;3;664,1;1
"id_4915949371551";"13";13032;1;3;570,15;1
"id_4598945879892";"55";55011;1;7;508,8;1
"id_4598945879837";"56";56527;1;1;610;1
"id_4599945879937";"41";41076;1;1;619,7;1
"id_4560945076081";"36";36050;1;3;537,3;1
"id_4787947878701";"49";49303;1;5;641,7;1
"id_4778947877849";"26";26082;1;1;611,65;1
"id_4742947874285";"24";24070;1;2;687,7;1
"id_4728947872838";"47";47491;1;1;704,15;1
"id_4724947872479";"35";35029;1;1;661,35;1
"id_4776947777687";"11";11028;1;1;708,1;1
"id_4747947774703";"45";45005;1;4;709,9;1
"id_4751947275134";"22";22091;1;1;572,8;1
"id_4725947272522";"52";52588;1;2;470;1
"id_4779947377900";"30";30007;1;1;646,1;1
"id_4767947076797";"41";41066;1;2;624,6;1
"id_4186941878616";"19";19005;1;3;573,75;1
"id_4140941974007";"14";14006;1;6;663,9;1
"id_4139941973946";"16";16058;1;1;743,5;1
"id_4125941572539";"37";37100;1;1;598,3;3
"id_4117941271713";"49";49108;1;4;574,1;1
"id_4186941078632";"20";20050;1;4;565,25;1
"id_4460944776060";"20";20052;1;1;523,7;1
"id_4454944175440";"45";45021;1;1;578,7;1
"id_4440944174040";"56";56224;1;1;605,8;1
"id_4405944170559";"41";41026;1;3;514,8;1
"id_4400944170012";"55";55115;1;1;462,2;1
"id_4467944176758";"23";23077;1;1;818,15;1
"id_4432944373291";"37";37027;1;1;559,1;8
"id_4432944373296";"37";37100;1;1;697,2;1
"id_4449944074925";"50";50528;1;1;700,35;1
"id_4226942972684";"41";41156;1;2;509;1
"id_4264942976429";"18";18073;1;1;585,7;1
"id_4271942177144";"52";52070;1;3;612,1;1
"id_4210942371034";"14";14091;1;5;505,6;1
"id_4284942678477";"24";24069;1;2;770,25;1
"id_4275942677585";"22";22080;1;1;683,65;1
"id_4357943875769";"20";20050;1;2;441,6;1
"id_4307943870746";"15";15303;1;1;773;1
"id_4345943574521";"11";11061;1;1;625,95;1
"id_4339943073942";"26";26007;1;1;699,5;1
"id_4356943675676";"55";55115;1;1;533,2;1
"id_4322943672289";"49";49108;1;3;549,7;1
"id_4073940877381";"12";12025;1;1;768,75;1
"id_4002940570270";"19";19030;1;1;717,35;1
"id_4018940171850";"46";46107;1;1;632,1;1
"id_4069940076946";"56";56224;1;5;570,1;1
"id_4014940671459";"32";32012;1;1;707,55;1
"id_4685946878588";"56";56211;1;1;609,5;1
"id_4601946970157";"21";21056;1;5;747,8;1
"id_4695946179548";"40";40073;1;4;725,95;1
"id_4690946179071";"55";55006;1;1;627,1;1
"id_4617946271779";"46";46104;1;3;609,3;1
"id_4625946272517";"51";51130;1;1;725,5;1
"id_4684946078440";"22";22020;1;1;696;1
"id_2869928976955";"13";13072;1;6;837,15;1
"id_2858928575877";"41";41164;1;5;887,9;1
"id_2855928575570";"29";29066;1;2;665,9;1
"id_2883928778323";"21";21048;1;1;571,7;1
"id_2840928174075";"45";45038;1;0;0;9
"id_2826928472624";"55";55075;1;1;557,1;1
"id_2822928372209";"41";41059;1;3;558,8;1
"id_2913929971385";"55";55052;1;1;564,2;1
"id_2941929974165";"39";39120;1;3;663,4;1
"id_2958929575810";"35";35078;1;5;631,35;1
"id_2952929575249";"26";26005;1;2;536,4;9
"id_2925929572575";"56";56324;1;1;710,8;1
"id_2956929775669";"23";23029;1;5;445,7;9
"id_2976929777638";"42";42001;1;8;791,3;1
"id_2924929472410";"55";55074;1;1;679,7;1
"id_2990929279084";"15";15170;1;1;837,2;1
"id_2592925879208";"56";56424;1;2;668;1
"id_2587925578745";"13";13025;1;1;669,15;1
"id_2543925774345";"51";51152;1;1;554,9;1
"id_2551925175110";"35";35083;1;1;538,2;1
"id_2557925075778";"13";13060;1;1;732,05;1
"id_2568925076846";"26";26055;1;1;500,3;1
"id_2780927878059";"55";55065;1;1;745,5;1
"id_2734927873464";"18";18096;1;1;638,15;1
"id_2763927576358";"55";55056;1;2;604,2;1
"id_2739927773968";"35";35007;1;1;622,85;1
"id_2777927177712";"55";55115;1;3;489,6;1
"id_2739927173955";"40";40040;1;1;691;1
"id_2740927474087";"32";32162;1;1;737;1
"id_2700927470044";"47";47201;1;1;709,3;1
"id_2733927273319";"11";11001;1;1;792,2;1
"id_2778927377813";"45";45016;1;0;0;9
"id_2740927074047";"11";11523;1;1;737,85;1
"id_2168921976840";"50";50233;1;1;767,8;1
"id_2119921571920";"19";19045;1;1;784,9;1
"id_2168921776846";"14";14090;1;10;660,8;1
"id_2179921177908";"55";55016;1;5;690,35;1
"id_2118921171832";"18";18072;1;1;703,15;1
"id_2117921171726";"55";55064;1;1;614,4;1
"id_2139921173941";"51";51130;1;2;829,4;1
"id_2125921472520";"35";35082;1;2;805,8;1
"id_2159921275948";"38";38176;4;2;549,7;11
"id_2175921277524";"16";16050;1;1;693,3;1
